datetime;cpu_usage
Tue Sep 13 2022 12:00:00 GMT+0300 (GMT+03:00);0.050919306986745336
Tue Sep 13 2022 13:00:00 GMT+0300 (GMT+03:00);0.05217929792894412
Tue Sep 13 2022 14:00:00 GMT+0300 (GMT+03:00);0.050494740495341826
Tue Sep 13 2022 15:00:00 GMT+0300 (GMT+03:00);0.059107537184997144
Tue Sep 13 2022 16:00:00 GMT+0300 (GMT+03:00);0.04809885152227555
Tue Sep 13 2022 17:00:00 GMT+0300 (GMT+03:00);0.05482136450559159
Tue Sep 13 2022 18:00:00 GMT+0300 (GMT+03:00);0.0492662074048227
Tue Sep 13 2022 19:00:00 GMT+0300 (GMT+03:00);0.05747617482925608
Tue Sep 13 2022 20:00:00 GMT+0300 (GMT+03:00);0.050241147870159084
Tue Sep 13 2022 21:00:00 GMT+0300 (GMT+03:00);0.04836575963586155
Tue Sep 13 2022 22:00:00 GMT+0300 (GMT+03:00);0.04991404421983233
Tue Sep 13 2022 23:00:00 GMT+0300 (GMT+03:00);0.04860224042585793
Wed Sep 14 2022 00:00:00 GMT+0300 (GMT+03:00);0.05052792167711433
Wed Sep 14 2022 01:00:00 GMT+0300 (GMT+03:00);0.04922408649348654
Wed Sep 14 2022 02:00:00 GMT+0300 (GMT+03:00);0.04958967383925079
Wed Sep 14 2022 03:00:00 GMT+0300 (GMT+03:00);0.050733769640274776
Wed Sep 14 2022 04:00:00 GMT+0300 (GMT+03:00);0.05015198897719123
Wed Sep 14 2022 05:00:00 GMT+0300 (GMT+03:00);0.04896944063237041
Wed Sep 14 2022 06:00:00 GMT+0300 (GMT+03:00);0.06414022705084388
Wed Sep 14 2022 07:00:00 GMT+0300 (GMT+03:00);0.055808670151422546
Wed Sep 14 2022 08:00:00 GMT+0300 (GMT+03:00);0.05362485933958346
Wed Sep 14 2022 09:00:00 GMT+0300 (GMT+03:00);0.046374671506346214
Wed Sep 14 2022 10:00:00 GMT+0300 (GMT+03:00);0.049485371870105134
Wed Sep 14 2022 11:00:00 GMT+0300 (GMT+03:00);0.060961777503899715
Wed Sep 14 2022 12:00:00 GMT+0300 (GMT+03:00);0.049546266100822134
Wed Sep 14 2022 13:00:00 GMT+0300 (GMT+03:00);0.05242543263212105
Wed Sep 14 2022 14:00:00 GMT+0300 (GMT+03:00);0.05288521830283572
Wed Sep 14 2022 15:00:00 GMT+0300 (GMT+03:00);0.0549950486499842
Wed Sep 14 2022 16:00:00 GMT+0300 (GMT+03:00);0.17212984025154981
